ID	NumUnique	PopUniq	Nom_Pop	Assigned	Sexe	Year	Cohorte	NGS-SSsp2210	NGS-SSsp2210-b	NGS-SsaD486	NGS-SsaD486-b	Ssa-1.7	Ssa-1.7-b	Ssa-10.1	Ssa-10.1-b	Ssa-10.2	Ssa-10.2-b	Ssa-11.2	Ssa-11.2-b	Ssa-11.3	Ssa-11.3-b	Ssa-11.5	Ssa-11.5-b	Ssa-11.8	Ssa-11.8-b	Ssa-12.5	Ssa-12.5-b	Ssa-13.8	Ssa-13.8-b	Ssa-14.2	Ssa-14.2-b	Ssa-14.3	Ssa-14.3-b	Ssa-14.5	Ssa-14.5-b	Ssa-14.6	Ssa-14.6-b	Ssa-14.8	Ssa-14.8-b	Ssa-15.1	Ssa-15.1-b	Ssa-15.3	Ssa-15.3-b	Ssa-15.7	Ssa-15.7-b	Ssa-17.1	Ssa-17.1-b	Ssa-18.7	Ssa-18.7-b	Ssa-19.1	Ssa-19.1-b	Ssa-19.2	Ssa-19.2-b	Ssa-19.3	Ssa-19.3-b	Ssa-2.1	Ssa-2.1-b	Ssa-2.2	Ssa-2.2-b	Ssa-2.7	Ssa-2.7-b	Ssa-20.2	Ssa-20.2-b	Ssa-21.2	Ssa-21.2-b	Ssa-22.5	Ssa-22.5-b	Ssa-22.9	Ssa-22.9-b	Ssa-22.d31	Ssa-22.d31-b	Ssa-25.11	Ssa-25.11-b	Ssa-25.2	Ssa-25.2-b	Ssa-26.1	Ssa-26.1-b	Ssa-4.d44	Ssa-4.d44-b	Ssa-5.2	Ssa-5.2-b	Ssa-6.2	Ssa-6.2-b	Ssa-7.12	Ssa-7.12-b	Ssa-9.3	Ssa-9.3-b	Ssa-9.8	Ssa-9.8-b
17R0039	28	2	Puyjalon	non	F	2017	2014	25	45	32	40	55	55	28	37	51	51	49	58	54	63	46	46	73	73	69	69	42	42	42	42	64	64	21	36	45	45	57	60	49	49	53	68	64	73	46	46	68	68	56	62	38	41	55	55	28	34	35	35	34	37	39	42	60	60	59	71	61	64	50	50	39	39	36	42	33	57	35	39	49	49	40	40	36	45	37	37	34	37
17R0040	29	2	Puyjalon	non	M	2017	2014	25	45	40	52	52	55	28	28	51	51	49	73	54	63	46	46	73	73	69	69	42	48	60	60	64	64	36	36	42	45	60	69	43	49	65	68	73	79	46	64	68	68	56	56	38	41	52	52	28	34	35	38	34	43	42	45	60	60	80	83	64	64	50	56	39	39	36	57	57	66	35	37	43	49	46	46	30	45	37	40	37	37
17R0041	30	2	Puyjalon	non	M	2017	2014	25	49	36	40	55	55	28	40	51	51	49	49	54	63	46	46	73	73	69	69	48	48	42	54	64	64	36	36	42	45	60	69	43	49	62	68	64	79	46	64	68	71	56	62	38	38	52	55	28	28	35	35	34	43	39	45	78	78	80	83	58	64	50	56	39	39	36	42	57	57	35	39	49	49	40	40	30	45	46	46	34	37
17R0042	31	2	Puyjalon	non	F	2017	2014	25	45	40	56	52	55	40	43	51	51	73	73	54	66	46	46	64	73	69	69	42	42	42	60	64	64	39	39	42	45	0	0	43	46	50	62	64	73	64	64	71	77	56	56	41	41	49	52	34	34	35	35	37	43	42	42	78	78	59	59	67	67	50	50	39	39	42	51	33	33	35	37	49	49	46	46	36	45	40	46	31	34
17R0045	32	1	Romaine	non	M	2017	2014	45	45	52	52	49	52	40	40	51	57	49	58	63	66	46	46	73	73	63	69	42	42	42	42	64	70	21	42	45	45	60	66	46	49	56	65	64	73	0	0	68	71	59	62	38	44	52	55	34	34	35	35	34	37	39	42	60	81	65	83	0	0	50	56	39	39	36	36	33	33	35	35	43	43	40	46	45	45	37	40	31	34
17R0046	33	2	Puyjalon	non	F	2017	2014	37	49	32	52	49	55	40	43	48	51	43	49	63	63	37	46	73	73	69	69	42	48	54	54	64	64	36	36	42	45	57	60	43	49	62	65	73	79	0	0	68	71	56	83	38	38	49	55	34	34	35	35	34	46	Unscored	Unscored	60	78	0	0	64	64	50	50	39	39	36	42	33	57	37	39	49	49	40	46	45	45	37	46	28	34
17R0056	34	2	Puyjalon	non	F	2017	2014	25	25	32	36	46	52	37	43	51	51	43	49	57	63	37	46	64	73	69	72	42	48	42	54	64	64	36	39	45	45	57	57	46	49	53	65	73	73	46	64	68	71	56	86	38	38	49	55	28	34	35	35	34	43	42	42	60	60	0	0	61	64	50	54	39	39	42	42	57	63	39	39	49	49	46	46	45	45	37	46	28	34
17R0058	35	2	Puyjalon	non	F	2017	2014	37	45	40	40	52	55	40	40	51	51	49	49	57	63	37	46	64	73	69	69	48	48	42	42	64	64	21	36	45	45	57	60	49	49	53	65	64	73	46	64	68	68	56	83	38	41	55	55	28	34	35	35	34	37	42	42	60	60	0	0	61	64	50	50	39	39	36	42	33	33	35	39	43	49	40	40	36	45	37	46	28	34
17R0061	36	2	Puyjalon	non	F	2017	2015	25	45	40	52	55	55	28	37	45	51	58	73	54	57	37	46	64	73	69	69	42	42	42	60	64	70	36	39	42	45	57	66	43	49	53	62	64	79	46	55	71	71	62	62	38	38	52	55	28	34	35	35	43	43	Unscored	Unscored	78	78	80	80	64	67	54	54	48	48	36	51	54	57	35	35	49	49	40	40	45	51	37	37	34	37
17R0067	37	1	Romaine	non	M	2017	2015	37	45	52	52	46	52	40	40	51	51	49	73	54	63	37	46	64	73	69	72	42	42	42	42	64	64	39	39	48	48	0	0	46	46	65	65	67	79	46	58	68	71	59	80	38	38	49	52	28	34	35	35	34	37	39	42	60	60	59	80	58	70	50	54	39	39	36	36	33	33	35	35	49	49	40	40	30	45	37	40	31	31
17R0071	38	2	Puyjalon	non	F	2017	2015	25	45	36	52	52	55	28	40	51	51	43	73	57	63	37	37	73	73	69	69	42	48	42	54	64	70	39	39	42	42	66	66	43	46	56	56	73	79	46	64	68	68	56	59	38	41	52	55	28	34	35	44	37	43	Unscored	Unscored	0	0	59	68	61	64	54	56	39	39	42	42	33	33	35	39	49	49	40	40	45	45	37	40	34	37
17R0072	39	2	Puyjalon	non	F	2017	2014	37	45	48	52	46	55	40	43	51	51	43	49	57	63	37	37	64	73	63	63	42	48	54	60	64	67	36	39	42	42	60	66	43	43	53	62	64	79	55	64	68	77	62	83	38	38	52	55	34	34	35	35	34	37	42	45	78	78	65	80	64	64	50	50	39	39	42	42	33	33	35	39	49	49	40	46	30	45	37	46	31	34
17R0073	40	2	Puyjalon	non	F	2017	2014	37	45	32	48	49	55	40	40	51	51	49	49	57	57	37	37	64	73	63	69	42	42	42	60	67	67	36	36	42	42	0	0	43	49	53	53	64	64	0	0	0	0	56	62	38	41	52	55	28	34	35	35	37	43	42	42	0	0	59	65	0	0	50	50	39	39	36	36	33	33	35	39	49	49	46	46	30	36	37	40	31	34
17R0074	41	2	Puyjalon	non	F	2017	2015	25	49	40	52	52	58	40	43	48	54	43	49	54	54	37	37	64	73	63	69	42	48	54	54	64	70	0	0	45	45	0	0	43	43	62	65	64	73	46	49	0	0	56	62	38	41	52	55	34	34	35	35	37	43	42	42	0	0	59	68	58	64	48	50	39	39	36	48	33	33	35	37	49	49	46	46	45	51	46	46	31	34
17R0075	42	2	Puyjalon	non	F	2017	2014	25	41	40	40	52	52	28	40	51	51	49	73	54	63	37	46	64	73	69	69	42	48	42	54	64	70	21	36	42	45	60	63	46	49	62	62	73	73	46	64	68	68	56	56	38	38	52	55	34	37	35	35	43	46	39	42	60	78	71	83	64	64	50	56	39	39	42	51	57	57	35	39	49	49	46	46	36	45	46	46	28	37
17R0076	43	2	Puyjalon	non	M	2017	2015	25	25	40	48	52	55	28	40	51	51	73	73	57	63	37	37	73	73	69	69	42	42	42	54	64	70	36	42	42	45	60	63	43	46	53	56	64	73	46	64	68	68	56	56	38	38	55	55	37	37	35	35	31	37	39	39	78	81	59	59	64	67	50	50	39	39	42	51	54	57	35	37	49	52	40	40	45	45	37	40	31	37
17R0077	44	2	Puyjalon	non	M	2017	2014	45	45	40	40	52	55	37	40	45	51	43	73	54	63	46	46	0	0	69	69	0	0	42	54	64	70	0	0	42	45	0	0	43	43	53	62	73	79	46	64	68	71	62	65	38	38	55	55	34	37	35	38	43	43	39	42	60	60	0	0	0	0	50	54	39	39	36	42	33	33	35	35	49	49	46	46	30	45	37	46	31	31
17R0078	45	2	Puyjalon	non	F	2017	2014	25	25	40	52	52	55	40	40	48	51	43	49	51	63	46	46	73	73	69	69	42	48	42	54	64	64	21	36	42	45	60	60	43	49	62	68	79	79	0	0	71	71	56	56	38	41	49	55	28	34	35	35	34	37	39	39	60	60	80	80	58	64	50	50	39	39	36	51	57	57	35	37	43	49	40	46	45	45	37	37	37	37
17R0079	46	2	Puyjalon	non	F	2017	2014	25	25	40	40	49	52	37	37	51	51	58	73	54	63	37	46	64	73	69	72	42	48	42	54	64	64	36	39	42	42	60	66	43	46	53	53	64	73	46	46	68	71	56	83	38	38	55	55	34	34	35	35	43	43	Unscored	Unscored	60	60	0	0	58	64	50	54	39	39	42	42	33	57	39	39	49	49	46	46	36	45	37	46	28	37
17R0080	47	2	Puyjalon	non	F	2017	2015	25	45	36	40	55	55	37	40	51	51	49	49	54	57	37	46	73	73	69	69	42	42	42	54	64	64	36	39	45	45	0	0	43	43	62	68	73	79	46	64	68	71	56	65	38	38	49	52	34	34	35	41	16	43	15	45	60	78	0	0	58	64	54	56	39	39	36	36	33	33	35	39	49	49	46	46	30	45	37	37	31	37
17R0081	48	2	Puyjalon	non	M	2017	2014	37	49	36	36	52	55	28	40	48	51	43	43	54	54	37	46	73	76	63	72	42	48	54	54	64	64	21	21	42	45	0	0	43	49	53	53	73	73	46	64	0	0	62	65	38	38	52	55	28	34	35	41	34	43	42	42	60	75	56	65	61	67	50	50	39	39	42	51	33	33	35	37	49	49	40	46	30	30	37	40	31	37
17R0082	49	2	Puyjalon	non	F	2017	2014	41	45	40	52	46	55	28	37	51	51	58	73	54	54	37	46	64	73	69	72	42	42	60	60	64	64	21	42	42	45	60	66	43	43	53	65	64	73	0	0	68	71	56	62	38	38	55	55	34	34	35	35	43	43	39	42	60	60	56	71	64	67	50	54	39	39	36	42	33	57	35	39	49	49	40	46	30	30	40	46	31	37
17R0083	50	2	Puyjalon	non	M	2017	2014	45	49	40	40	55	55	28	28	51	51	43	49	54	54	46	46	73	73	69	69	42	42	54	54	64	70	36	39	45	45	60	63	43	46	53	62	61	73	46	64	71	77	62	65	38	38	52	55	28	37	35	44	37	43	39	42	60	78	59	59	64	64	54	56	39	39	42	42	33	33	35	37	49	49	46	46	30	51	37	37	31	34
17R0084	51	2	Puyjalon	non	F	2017	2014	25	25	56	56	49	55	40	43	51	51	49	73	54	66	46	49	73	73	69	69	42	42	42	42	64	70	39	39	45	45	0	0	43	43	53	62	64	73	0	0	68	68	56	56	41	41	49	52	28	34	35	35	34	37	42	42	0	0	71	80	64	67	50	56	39	39	42	51	33	33	37	39	49	49	46	46	36	45	40	46	31	34
17R0085	52	2	Puyjalon	non	F	2017	2014	37	45	32	48	49	52	40	43	51	51	49	49	54	63	37	46	64	73	63	69	42	42	42	60	64	67	36	39	42	45	57	66	43	49	53	65	64	73	46	64	68	68	56	59	38	41	52	55	34	34	35	35	34	43	42	42	60	78	56	80	64	67	50	50	39	48	42	48	57	57	39	39	43	49	46	46	30	45	46	46	28	34
17R0086	53	2	Puyjalon	non	F	2017	2014	25	45	32	40	55	55	28	37	51	51	49	58	54	54	37	46	73	73	69	72	42	42	42	54	67	67	36	36	42	45	60	60	43	49	53	68	64	73	46	46	68	71	56	62	38	41	52	55	28	34	35	35	34	37	39	42	60	75	59	59	64	64	50	50	39	39	36	42	33	33	35	39	49	49	40	40	36	45	37	37	34	34
17R0087	54	2	Puyjalon	non	M	2017	2015	25	45	40	48	52	55	28	28	51	51	49	73	54	57	37	46	73	73	69	69	42	48	42	54	64	64	39	42	42	45	0	0	43	46	56	56	73	79	46	64	0	0	56	83	38	38	52	55	34	37	35	35	31	43	39	42	0	0	59	59	61	64	50	50	39	51	42	51	57	57	35	39	49	52	40	40	45	45	40	46	34	37
17R0088	55	2	Puyjalon	non	F	2017	2015	25	45	40	56	49	52	37	40	45	51	43	73	54	63	37	46	73	73	72	72	42	48	42	60	64	64	0	0	45	45	0	0	43	49	56	68	79	79	46	46	68	71	62	62	38	38	55	55	34	34	38	41	34	43	Unscored	Unscored	60	60	59	80	0	0	50	50	39	39	42	45	33	54	35	37	49	49	46	46	45	45	37	37	37	37
17R0089	56	1	Romaine	non	M	2017	2014	37	45	32	36	46	49	40	40	51	57	43	70	42	54	46	49	64	73	72	72	42	42	42	60	64	64	21	39	42	45	0	0	43	46	65	65	67	73	43	43	68	68	56	80	38	41	49	52	28	34	35	41	16	43	39	39	60	60	71	80	64	67	50	50	39	39	36	42	33	48	35	35	49	49	46	46	30	60	37	40	31	34
17R0090	57	2	Puyjalon	non	F	2017	2015	25	45	32	48	49	55	28	37	45	48	43	73	54	63	37	37	0	0	69	69	42	42	54	60	64	64	21	36	42	45	69	69	43	46	53	62	64	64	0	0	68	68	56	59	41	41	52	55	34	37	35	35	43	46	42	42	60	60	59	65	61	64	50	54	39	39	36	42	33	48	35	37	43	49	46	46	30	45	37	40	31	34
17R0091	58	2	Puyjalon	non	M	2017	2014	37	49	40	52	49	49	40	43	48	51	58	58	54	63	46	49	64	73	69	72	42	48	42	42	64	64	0	0	45	45	0	0	43	49	53	53	64	73	46	46	0	0	68	83	38	38	55	55	34	34	35	35	37	43	42	42	0	0	0	0	64	64	50	50	39	39	42	42	33	33	35	39	43	49	46	46	45	45	40	46	34	37
17R0092	59	2	Puyjalon	non	F	2017	2014	25	45	48	52	49	55	40	40	48	51	49	73	57	63	37	46	64	73	69	72	42	48	42	60	64	67	36	39	42	45	60	66	46	49	53	53	64	73	46	55	68	71	62	83	38	38	55	55	28	34	35	35	34	43	42	42	0	0	56	65	61	67	50	50	39	48	42	48	33	33	37	37	49	49	40	46	30	30	37	46	31	34
17R0094	60	1	Romaine	non	F	2017	2015	45	45	44	52	46	49	28	37	48	51	43	73	54	57	46	46	64	73	69	72	42	42	42	42	64	64	36	39	45	48	57	66	46	46	56	65	55	79	0	0	68	68	56	59	38	38	52	55	34	37	35	44	34	43	39	39	60	78	80	80	64	67	50	54	39	51	36	42	33	48	35	35	49	49	40	46	30	51	40	46	31	31
17R0096	61	2	Puyjalon	oui	M	2017	2015	45	49	32	44	55	58	37	40	51	51	58	73	51	54	37	46	73	73	69	72	42	42	42	54	64	64	36	36	42	45	57	60	43	43	53	65	73	73	58	58	71	71	56	56	41	41	52	55	34	34	35	35	37	43	39	42	60	60	59	80	58	64	50	50	39	39	36	42	33	33	37	39	49	49	40	46	30	45	37	46	31	31
17R0098	62	2	Puyjalon	non	F	2017	2015	41	45	36	52	49	52	37	40	51	51	49	58	51	54	46	49	73	73	69	72	42	42	54	60	64	70	0	0	42	45	66	69	43	43	53	62	73	73	Unscored	Unscored	68	71	56	62	38	38	52	55	28	34	35	41	16	43	15	42	78	78	71	80	58	64	50	54	39	39	36	36	48	48	35	39	49	49	46	46	30	36	46	46	31	34
17R0100	63	2	Puyjalon	non	F	2017	#VALEUR!	37	45	40	40	55	55	40	40	51	51	58	58	51	54	46	49	73	73	69	69	42	48	60	60	64	64	36	36	42	45	0	0	46	49	53	62	73	79	46	46	68	71	56	56	38	38	52	55	34	34	35	41	16	37	42	42	60	60	0	0	0	0	50	50	39	39	36	51	33	57	37	39	43	49	40	46	30	36	40	40	28	31
17R0102	64	2	Puyjalon	non	M	2017	2013	25	25	40	40	55	55	37	40	48	51	43	49	54	57	46	46	73	73	69	72	42	42	42	54	64	64	0	0	45	45	0	0	43	46	49	53	73	79	46	46	68	71	83	83	38	38	55	55	28	34	41	41	16	43	39	39	60	78	59	80	64	64	50	54	39	51	42	51	33	57	35	37	43	49	40	40	36	45	37	40	31	34
