Ne																																																																																		
npops = 14																																																																																		
nloci = 41																																																																																		
																																																																																		
	NGS-SSsp2210		NGS-SsaD486		Ssa-1.7		Ssa-10.1		Ssa-10.2		Ssa-11.2		Ssa-11.3		Ssa-11.5		Ssa-11.8		Ssa-12.5		Ssa-13.8		Ssa-14.2		Ssa-14.3		Ssa-14.5		Ssa-14.6		Ssa-14.8		Ssa-15.1		Ssa-15.3		Ssa-15.7		Ssa-17.1		Ssa-18.7		Ssa-19.1		Ssa-19.2		Ssa-19.3		Ssa-2.1		Ssa-2.2		Ssa-2.7		Ssa-20.2		Ssa-21.2		Ssa-22.2		Ssa-22.9		Ssa-22.d31		Ssa-25.11		Ssa-25.2		Ssa-26.1		Ssa-4.d44		Ssa-5.2		Ssa-6.2		Ssa-7.12		Ssa-9.3		Ssa-9.8	
17R0074	25	49	40	52	52	58	40	43	48	54	43	49	54	54	37	37	64	73	63	69	42	48	54	54	64	70	?	?	45	45	?	?	43	43	62	65	64	73	46	49	?	?	56	62	38	41	52	55	34	34	35	35	37	43	42	42	?	?	59	68	58	64	48	50	39	39	36	48	33	33	35	37	49	49	46	46	45	51	46	46	31	34
17R0076	25	25	40	48	52	55	28	40	51	51	73	73	57	63	37	37	73	73	69	69	42	42	42	54	64	70	36	42	42	45	60	63	43	46	53	56	64	73	46	64	68	68	56	56	38	38	55	55	37	37	35	35	31	37	39	39	78	81	59	59	64	67	50	50	39	39	42	51	54	57	35	37	49	52	40	40	45	45	37	40	31	37
17R0080	25	45	36	40	55	55	37	40	51	51	49	49	54	57	37	46	73	73	69	69	42	42	42	54	64	64	36	39	45	45	?	?	43	43	62	68	73	79	46	64	68	71	56	65	38	38	49	52	34	34	35	41	16	43	15	45	60	78	?	?	58	64	54	56	39	39	36	36	33	33	35	39	49	49	46	46	30	45	37	37	31	37
17R0087	25	45	40	48	52	55	28	28	51	51	49	73	54	57	37	46	73	73	69	69	42	48	42	54	64	64	39	42	42	45	?	?	43	46	56	56	73	79	46	64	?	?	56	83	38	38	52	55	34	37	35	35	31	43	39	42	?	?	59	59	61	64	50	50	39	51	42	51	57	57	35	39	49	52	40	40	45	45	40	46	34	37
17R0088	25	45	40	56	49	52	37	40	45	51	43	73	54	63	37	46	73	73	72	72	42	48	42	60	64	64	?	?	45	45	?	?	43	49	56	68	79	79	46	46	68	71	62	62	38	38	55	55	34	34	38	41	34	43	?	?	60	60	59	80	?	?	50	50	39	39	42	45	33	54	35	37	49	49	46	46	45	45	37	37	37	37
17R0090	25	45	32	48	49	55	28	37	45	48	43	73	54	63	37	37	?	?	69	69	42	42	54	60	64	64	21	36	42	45	69	69	43	46	53	62	64	64	?	?	68	68	56	59	41	41	52	55	34	37	35	35	43	46	42	42	60	60	59	65	61	64	50	54	39	39	36	42	33	48	35	37	43	49	46	46	30	45	37	40	31	34
17R0098	41	45	36	52	49	52	37	40	51	51	49	58	51	54	46	49	73	73	69	72	42	42	54	60	64	70	?	?	42	45	66	69	43	43	53	62	73	73	?	?	68	71	56	62	38	38	52	55	28	34	35	41	16	43	15	42	78	78	71	80	58	64	50	54	39	39	36	36	48	48	35	39	49	49	46	46	30	36	46	46	31	34
17R0118	25	25	52	52	46	49	40	43	48	51	49	49	54	57	46	46	?	?	69	72	42	48	42	42	64	70	36	36	45	45	?	?	43	43	56	62	79	79	46	55	68	77	56	59	38	41	52	55	34	34	35	38	43	46	39	42	60	60	?	?	64	64	50	50	39	51	42	42	57	57	35	39	49	49	40	40	30	30	37	46	34	34
17R0138	25	37	40	40	49	52	40	40	51	51	43	58	63	63	37	46	?	?	69	69	48	48	42	54	64	64	21	39	42	45	?	?	43	49	56	62	64	79	?	?	68	71	59	62	38	41	52	55	28	34	35	38	43	43	42	42	60	60	?	?	?	?	50	54	39	51	42	42	33	33	37	39	49	49	40	46	45	45	37	46	28	37
17R0149	25	25	40	52	55	55	28	37	51	51	49	58	57	57	37	49	73	73	69	69	42	48	60	60	64	70	36	39	45	45	63	69	49	49	53	62	73	73	46	46	71	77	56	59	38	38	49	55	28	34	35	35	31	34	39	42	60	78	80	80	64	67	50	50	39	39	36	42	?	?	37	39	49	49	40	46	36	45	37	40	31	34
17R0151	25	37	40	52	49	55	28	40	51	54	43	49	54	57	37	37	73	73	69	72	?	?	42	54	67	70	36	39	42	42	60	66	46	49	53	62	64	73	58	64	71	71	56	62	38	41	52	55	28	34	35	44	37	43	39	39	78	81	68	80	64	67	50	56	?	?	42	42	?	?	37	37	43	49	40	40	36	45	37	37	34	37
17R0153	25	25	40	40	49	55	28	37	45	51	49	73	54	63	37	49	73	73	69	69	42	42	42	60	64	64	21	39	42	45	60	60	43	49	53	65	73	73	46	55	68	71	56	62	38	41	55	55	34	34	35	35	16	37	15	42	60	78	80	80	64	70	50	54	39	39	45	51	33	33	35	35	43	49	40	46	45	45	37	40	34	37
17R0154	25	25	32	40	49	55	28	37	51	51	49	49	54	57	37	37	64	64	69	72	42	42	42	42	64	70	39	39	42	45	66	66	49	49	62	62	73	79	46	55	68	71	62	83	38	38	55	55	34	34	35	35	16	43	36	42	60	78	68	80	64	64	50	54	39	39	51	51	33	33	35	35	49	49	40	40	30	45	40	40	34	37
17R0158	25	45	40	52	52	55	28	40	51	54	49	73	57	63	46	46	64	73	57	69	42	42	42	42	64	64	36	39	42	45	66	66	46	49	53	59	55	79	46	64	68	71	59	62	38	38	55	55	34	34	35	41	16	43	39	42	60	78	80	80	64	67	50	50	39	39	42	51	33	57	37	37	49	49	40	46	30	45	37	37	31	34
17R0160	37	45	36	52	49	55	40	40	51	51	43	73	54	63	37	46	73	73	69	69	48	48	42	54	?	?	21	39	45	45	60	66	43	43	62	65	64	79	64	64	?	?	59	62	38	41	52	55	28	34	35	35	43	43	15	42	?	?	?	?	64	64	54	56	?	?	42	42	33	33	39	39	49	49	40	40	30	45	46	46	28	34
17R0162	41	45	32	40	46	55	37	37	48	51	58	73	54	54	46	46	64	73	69	72	?	?	42	42	64	64	36	39	42	45	60	66	46	46	53	53	73	79	46	46	68	71	56	62	38	41	55	55	34	34	35	35	31	43	39	42	78	81	80	80	64	67	50	50	?	?	36	42	33	48	35	37	49	49	40	46	30	45	37	40	31	31
17R0166	25	25	40	48	49	55	37	43	48	51	49	58	54	54	37	37	64	73	69	72	42	48	54	60	64	70	36	39	42	45	63	63	46	49	53	53	64	64	46	55	71	71	56	56	38	41	49	49	28	28	35	35	37	43	39	39	78	78	71	71	64	64	50	50	39	39	42	42	33	57	35	37	49	49	40	46	45	45	37	40	34	37
17R0176	25	49	40	44	55	55	28	37	45	51	49	49	54	54	37	46	73	73	69	69	42	42	48	60	64	67	36	39	42	45	60	66	46	49	53	62	73	79	46	46	68	71	56	62	38	38	55	55	28	34	35	35	31	43	39	42	60	78	56	80	58	64	50	50	39	39	42	42	33	57	37	37	43	49	46	46	36	45	40	40	34	34
17R0178	25	45	40	52	49	55	28	40	51	51	49	49	57	63	46	49	73	73	57	69	42	42	42	42	64	64	36	39	42	45	66	66	46	46	53	65	79	79	55	64	71	71	56	62	38	38	52	55	34	34	35	41	34	43	39	42	60	60	80	80	64	64	50	50	39	39	36	51	57	57	37	39	49	49	40	40	36	45	40	40	34	37
17R0186	25	45	36	48	49	55	40	43	51	51	49	58	54	57	37	37	?	?	63	69	?	?	42	54	64	70	36	36	45	45	60	69	43	49	53	62	64	79	46	55	68	71	62	83	38	38	55	55	28	34	35	35	16	43	42	42	78	81	59	59	58	58	50	54	39	39	42	42	33	33	37	39	49	49	40	46	30	45	40	46	31	31
17R0194	25	45	52	52	49	55	37	40	51	51	43	49	54	63	37	37	73	73	69	69	?	?	42	42	64	70	36	36	45	45	60	69	46	49	62	65	79	79	46	46	68	68	59	62	38	41	52	55	34	34	35	35	37	43	42	42	78	78	80	80	64	64	50	54	39	39	42	42	33	33	37	39	49	49	40	46	30	30	37	40	31	37
17R0198	25	65	40	52	46	55	37	43	51	51	49	73	54	57	37	37	73	73	69	69	?	?	42	54	64	64	36	39	45	45	60	66	43	49	65	68	73	79	?	?	77	77	56	56	38	41	52	55	28	34	35	35	37	37	42	45	60	78	80	80	64	64	50	54	39	39	42	51	33	57	35	37	49	49	40	40	30	45	37	37	31	31
17R0208	37	49	32	40	49	49	28	40	45	54	49	49	54	57	37	49	?	?	69	69	?	?	42	48	64	64	36	39	42	45	60	66	43	49	53	53	64	73	46	46	68	68	56	56	38	41	49	52	28	28	35	41	16	43	39	42	60	78	59	80	58	64	50	56	39	39	42	42	33	33	37	39	43	49	46	46	45	45	37	37	31	34
17R0219	45	45	44	52	55	55	37	40	51	51	58	73	54	63	37	37	?	?	69	69	?	?	42	54	64	70	36	39	42	45	60	66	43	49	53	62	64	79	?	?	68	77	59	83	38	38	52	52	28	34	41	44	34	43	39	39	60	60	59	59	61	64	56	56	39	39	36	42	54	54	37	37	49	49	40	40	30	45	37	40	31	31
17R0225	45	45	32	48	49	49	28	40	48	51	43	49	57	63	37	46	73	73	69	69	42	42	54	54	64	67	36	36	42	45	60	69	49	49	53	65	64	79	46	58	68	68	83	83	38	38	52	55	28	34	35	35	37	43	39	45	60	78	59	59	64	64	50	54	39	39	36	51	33	57	35	37	49	49	46	46	30	45	37	37	34	37
17R0226	25	37	40	40	49	55	28	37	51	51	73	73	54	63	37	37	64	73	63	72	42	48	42	42	64	64	36	39	45	45	60	66	43	49	65	65	73	73	46	55	68	71	56	83	38	41	55	55	34	34	35	35	16	37	?	?	60	60	59	80	58	64	50	50	39	39	45	51	33	33	35	39	43	49	40	40	30	45	37	40	34	37
17R0227	25	25	40	40	49	55	28	40	48	51	49	49	54	57	37	37	73	73	69	69	42	42	42	54	67	70	36	39	42	45	63	69	43	46	53	65	64	73	46	55	68	71	62	62	38	38	55	55	28	34	35	35	31	43	39	42	78	78	80	80	64	64	50	50	39	39	36	42	33	57	35	37	49	49	46	46	45	45	37	40	31	34
17R0228	45	45	36	52	52	55	37	40	51	51	58	73	51	63	37	46	73	73	69	69	42	48	54	54	64	70	21	36	42	45	60	69	43	49	53	62	73	79	55	64	71	77	56	62	38	38	55	55	28	34	35	35	43	43	?	?	?	?	56	71	61	64	50	50	39	39	36	36	33	48	35	37	49	49	40	46	45	45	46	46	31	31
17R0230	25	25	32	32	55	55	28	37	48	54	49	73	54	57	37	37	64	73	69	69	48	48	54	54	64	67	36	36	42	45	60	60	46	49	53	53	64	64	46	46	68	71	56	56	38	41	49	52	34	34	35	35	16	43	39	42	75	78	65	71	64	67	50	50	39	39	42	42	48	57	37	39	43	49	40	46	45	45	37	37	31	37
17R0232	25	25	40	52	52	55	28	28	51	54	49	58	54	57	37	49	73	73	69	69	42	42	54	54	67	67	36	36	42	42	60	60	49	49	53	53	67	73	46	58	68	71	56	62	38	38	49	55	34	34	35	41	31	34	39	42	60	78	80	80	64	67	50	54	39	39	36	42	54	57	37	39	49	49	40	46	45	45	37	37	31	34
17R0242	25	37	40	48	46	55	40	40	51	51	49	58	54	57	37	46	64	73	63	69	48	48	42	60	64	67	21	39	42	45	60	66	43	49	62	62	79	79	46	46	68	77	56	56	41	41	52	55	34	34	35	41	37	37	42	42	75	78	56	59	64	67	50	50	39	39	36	42	33	33	35	39	49	49	40	46	30	36	37	46	34	34
17R0252	45	45	36	40	55	55	37	40	51	51	49	58	54	54	37	37	73	73	69	69	42	42	54	54	64	70	36	39	45	45	57	66	43	43	53	53	64	73	55	64	68	71	62	62	38	38	55	55	28	34	35	41	43	43	39	42	60	60	71	80	64	64	54	54	48	51	36	42	33	57	37	37	49	49	40	46	30	30	37	40	31	37
17R0253	25	41	40	40	49	52	28	40	48	51	43	49	54	57	37	37	64	73	69	69	42	48	42	42	64	64	36	39	42	45	63	66	43	43	56	62	73	79	64	64	68	71	56	62	38	38	49	49	34	34	35	41	31	37	?	?	60	78	71	80	58	64	50	56	39	39	42	42	33	57	35	39	43	49	46	46	36	45	37	46	34	37
17R0255	45	65	32	40	55	55	28	37	51	51	49	73	54	54	37	46	73	73	69	69	42	42	42	42	64	70	36	39	42	45	63	69	43	43	53	62	73	79	46	64	68	77	56	83	38	38	49	55	34	37	35	41	31	31	?	?	78	78	80	80	64	64	54	56	39	39	36	57	57	57	35	39	43	49	40	46	45	45	37	40	31	37
17R0259	45	49	36	48	49	52	28	43	51	51	58	73	51	63	46	49	73	73	69	69	42	48	42	42	64	64	36	39	42	45	66	69	46	49	53	62	64	64	46	64	68	71	56	59	38	41	49	52	34	34	35	41	16	37	39	42	60	60	59	59	58	61	50	54	39	39	36	42	57	57	37	39	43	49	46	46	30	36	37	40	31	37
17R0260	25	45	36	40	55	55	37	40	51	51	43	49	54	63	37	49	64	73	69	69	48	48	42	60	64	64	39	39	42	45	66	66	43	49	53	68	64	73	46	55	77	77	56	62	38	41	49	52	34	34	35	35	43	43	42	42	60	78	56	80	64	64	50	54	39	39	36	42	33	33	35	39	49	49	46	46	45	51	37	46	34	34
17R0261	41	49	32	40	49	55	28	40	48	51	49	49	54	57	37	46	64	73	69	69	42	42	42	42	64	64	36	39	42	45	66	69	43	43	59	62	64	73	46	64	68	71	56	62	38	38	49	55	34	34	35	41	31	34	42	42	60	78	80	80	58	67	50	56	39	48	36	42	33	57	37	39	49	49	46	46	30	30	37	46	34	37
17R0278	37	45	40	56	49	52	37	37	51	51	43	49	54	63	37	49	64	73	69	69	42	42	42	54	64	64	21	39	42	45	60	66	49	49	62	68	64	79	55	64	68	71	56	62	38	38	55	55	28	34	35	35	43	43	42	45	78	78	56	71	64	64	50	50	39	39	36	42	33	33	35	39	49	49	40	46	36	45	37	40	31	34
17R0279	45	45	36	36	49	55	40	40	48	51	58	73	54	63	37	37	73	73	69	69	42	48	42	54	67	70	36	36	45	45	57	60	43	43	53	62	64	79	64	64	68	71	56	62	38	41	55	55	34	34	35	35	34	43	42	42	60	78	65	80	64	64	50	50	39	39	42	51	33	57	37	37	49	49	40	46	30	45	37	46	37	37
17R0282	25	65	40	40	52	55	37	43	48	51	49	49	54	57	46	46	73	73	69	72	48	48	42	54	64	64	36	39	45	45	57	66	49	49	53	65	64	73	46	46	71	71	56	56	41	41	49	55	34	34	35	35	37	43	39	42	78	78	59	80	61	64	50	50	39	39	36	42	33	57	35	35	49	49	40	46	45	45	37	37	31	37
17R0283	37	45	32	52	55	55	28	40	45	51	49	58	54	57	37	37	64	64	72	72	42	42	42	60	64	64	21	39	42	45	60	66	43	43	53	65	64	73	46	46	68	71	56	62	38	41	55	55	34	34	35	38	31	43	39	42	75	78	59	80	64	67	50	56	39	39	42	45	33	48	35	39	49	49	40	46	36	45	37	40	31	34
17R0284	25	45	32	40	52	55	28	28	45	54	49	73	54	57	37	46	64	73	69	69	42	48	54	60	64	64	36	36	45	45	60	63	46	46	53	53	64	73	46	64	71	71	56	56	38	38	49	55	28	34	35	41	16	31	39	42	78	78	71	80	61	64	50	50	39	39	36	51	54	57	37	37	49	49	40	40	36	45	37	40	34	34
17R0286	25	45	36	40	52	55	37	43	51	51	49	73	63	63	37	37	73	73	69	69	42	48	54	54	64	67	36	36	42	45	60	66	43	43	53	62	64	79	55	64	68	71	56	62	38	38	49	55	34	34	35	35	16	37	39	42	60	78	56	80	58	64	50	54	39	39	51	51	33	33	35	37	49	49	46	46	30	45	37	46	37	37
17R0295	25	45	40	48	49	52	37	37	51	51	49	58	51	54	46	49	73	73	69	72	42	42	42	42	64	64	36	36	45	45	69	69	46	49	53	62	64	64	58	64	68	71	56	56	38	41	49	55	28	34	35	35	37	43	39	42	60	60	59	80	61	64	50	54	39	39	36	42	57	60	37	37	43	49	40	46	30	45	37	40	34	37
17R0309	25	25	40	40	52	55	40	40	51	51	49	73	63	63	37	46	73	73	69	69	42	48	42	60	64	70	36	39	45	45	57	66	43	46	53	53	73	79	55	58	71	71	62	62	38	38	52	55	34	34	35	41	34	43	42	42	78	78	80	83	64	64	50	50	39	51	42	51	57	66	37	39	43	49	40	46	51	51	37	46	31	34
17R0310	25	65	40	52	55	55	40	43	51	51	49	73	54	57	37	37	73	73	69	69	42	42	42	42	64	70	21	39	45	45	63	66	43	49	49	62	64	73	46	64	71	77	56	83	38	38	52	52	28	34	35	35	37	43	42	42	60	78	59	65	64	67	50	54	39	48	36	48	33	33	37	37	49	49	40	46	30	48	37	40	31	31
17R0313	25	37	40	52	49	55	28	28	51	54	49	58	54	57	37	37	64	73	69	72	48	48	60	60	64	70	36	39	45	45	63	63	46	49	53	62	64	64	46	46	71	71	62	62	38	38	55	55	28	28	35	35	31	43	39	42	60	78	80	80	64	64	50	50	39	39	48	51	33	33	35	37	43	49	40	46	45	45	37	37	34	37
17R0315	37	49	32	52	49	55	28	37	51	54	49	58	54	54	37	37	64	73	69	72	42	48	54	54	64	67	36	36	?	?	60	60	43	49	53	53	73	73	46	64	68	71	56	56	38	38	49	55	28	34	35	35	16	43	39	42	78	78	71	80	64	64	50	50	39	39	42	51	57	57	37	37	49	49	40	46	45	45	37	40	37	37
17R0321	25	25	32	40	49	55	28	37	51	54	49	73	54	63	37	37	73	73	69	69	48	48	60	60	64	64	36	36	45	45	63	63	49	49	53	62	73	79	46	58	68	71	56	62	38	41	55	55	34	34	35	38	31	43	39	39	78	78	56	80	61	64	50	50	39	39	42	42	33	57	35	37	43	49	40	46	36	36	37	46	34	37
17R0327	25	49	32	44	55	55	37	40	45	51	49	49	54	54	49	49	73	73	69	72	48	48	42	54	64	64	36	39	42	45	60	66	43	43	53	56	73	79	46	46	71	71	56	62	38	41	52	55	28	34	35	41	16	43	39	42	78	81	59	80	58	64	50	50	39	39	42	42	48	57	39	39	43	49	46	46	45	45	37	37	31	37
17R0329	37	49	32	52	49	55	28	37	45	51	49	58	54	54	37	37	64	73	69	72	42	48	54	54	64	64	36	36	?	?	60	63	43	49	53	53	73	73	46	46	68	71	56	56	38	38	49	55	28	34	35	35	16	43	39	42	78	78	80	80	64	67	50	50	39	39	42	51	33	48	35	37	49	49	40	46	45	51	37	40	37	37
17R0343	25	49	40	52	49	55	28	40	45	54	49	73	54	54	37	37	64	73	69	69	42	42	54	54	64	67	36	36	42	45	60	60	43	49	53	53	73	73	46	64	68	71	56	56	38	38	49	55	34	34	35	35	16	31	39	42	75	78	71	80	61	64	50	54	39	39	42	51	48	57	37	37	43	49	40	46	45	45	37	40	37	37
17R0344	25	25	32	52	49	55	37	43	51	51	49	73	54	57	37	37	64	73	69	72	42	42	60	60	64	70	39	39	42	45	66	66	43	49	62	62	64	73	46	64	68	71	56	62	38	38	52	55	34	34	35	41	16	34	45	45	60	78	65	80	64	67	50	54	39	39	42	45	33	54	35	37	43	49	40	46	30	45	37	40	34	37
17R0345	25	25	32	36	46	49	37	37	51	51	73	73	57	63	37	46	73	73	63	72	42	42	42	42	64	64	39	39	45	45	66	66	43	49	62	62	64	73	46	46	68	77	56	83	38	38	52	55	28	34	35	35	16	37	15	45	60	78	80	80	64	64	54	54	39	39	36	45	54	54	37	37	49	49	40	46	30	45	37	40	34	37
17R0347	41	45	32	40	55	55	28	28	45	51	58	73	54	54	37	46	73	73	69	72	42	48	42	60	64	64	21	39	?	?	60	66	46	46	53	53	73	79	46	64	68	71	56	83	38	41	55	55	34	34	35	35	31	43	39	42	78	78	71	80	67	67	50	50	39	39	36	45	33	48	37	39	49	49	40	40	45	45	37	40	31	34
17R0354	37	41	40	52	49	55	28	28	51	51	43	49	54	57	37	46	73	73	69	72	42	48	54	60	64	64	36	36	45	45	60	63	49	49	53	62	73	73	46	58	71	71	56	62	38	38	49	55	28	34	35	35	31	43	39	39	60	78	71	80	61	64	50	54	39	48	42	42	33	57	37	37	49	49	40	46	30	36	40	46	34	37
17R0366	45	49	36	40	49	55	40	40	51	51	49	49	54	54	37	49	73	73	69	72	42	42	42	60	64	64	36	36	42	42	57	60	49	49	53	53	73	76	46	58	71	71	83	83	38	38	52	55	28	34	41	41	16	37	42	42	60	75	59	80	64	70	50	50	39	39	42	42	33	57	35	37	43	49	40	46	30	45	37	37	31	31
17R0367	25	25	32	52	49	55	37	37	51	51	49	49	54	57	37	46	64	73	69	72	42	48	42	60	64	70	39	39	42	45	66	66	43	43	62	65	64	73	46	46	71	71	65	83	38	38	52	55	28	34	35	35	34	37	45	45	60	78	65	80	64	67	50	54	39	39	36	51	33	33	35	37	49	49	40	46	30	45	37	40	31	37
17R0368	25	49	40	52	52	58	28	37	51	54	43	73	54	63	37	46	64	73	69	72	42	42	42	54	64	64	39	39	45	45	66	66	43	46	59	62	55	64	46	64	68	71	56	59	38	41	55	55	34	34	35	44	43	43	39	42	60	78	59	68	64	64	50	50	39	39	36	48	33	33	37	37	49	49	46	46	30	45	37	40	31	34
17R0391	37	45	40	56	49	58	28	40	48	51	49	58	51	54	37	46	64	73	69	69	42	42	54	54	64	70	36	39	42	42	63	66	43	43	53	59	61	64	46	64	71	71	62	62	38	38	52	55	28	34	35	35	37	43	42	42	60	78	80	83	64	64	50	56	39	39	42	42	33	57	35	37	49	49	40	49	36	45	37	40	31	34
17R0397	25	37	40	52	52	55	28	40	51	54	49	58	54	63	46	49	73	73	69	72	42	48	42	60	64	64	36	39	45	45	63	66	46	49	53	65	79	79	46	55	68	71	56	59	38	38	55	55	34	34	35	41	43	43	42	42	60	60	80	80	64	67	50	50	39	39	36	51	33	33	37	39	49	49	40	46	36	45	37	40	31	34
17R0403	37	37	40	40	49	55	37	40	51	51	49	58	57	63	37	46	73	73	69	72	42	42	48	60	64	64	36	39	45	45	63	66	43	46	53	53	64	64	58	64	71	71	62	62	38	38	55	55	28	34	35	35	16	43	39	42	60	78	80	80	64	64	50	50	39	51	42	42	33	57	37	39	49	49	40	40	36	45	37	37	31	34
17R0406	25	37	36	40	52	55	28	40	51	51	58	73	54	63	46	46	64	73	57	69	42	48	42	60	64	64	36	39	42	45	66	66	46	49	53	65	79	79	46	55	68	71	62	62	38	38	52	55	34	34	35	41	16	34	39	42	60	60	80	83	64	64	50	50	39	39	51	51	33	33	37	37	49	49	46	46	30	45	37	37	31	34
17R0407	25	45	40	52	52	55	28	40	51	51	49	58	54	63	46	49	73	73	57	69	42	48	42	60	64	64	36	39	45	45	63	66	46	46	53	59	55	79	55	64	68	71	56	59	38	38	55	55	34	34	35	35	34	43	39	42	60	60	80	80	64	67	50	50	39	39	36	42	33	57	37	37	49	49	40	46	36	45	40	40	31	34
17R0410	25	45	40	44	55	55	37	40	51	51	58	73	54	54	46	46	73	73	69	69	42	48	42	42	64	64	36	39	42	45	66	66	46	49	53	62	79	79	46	55	71	71	56	62	38	38	55	55	34	34	35	35	43	43	42	45	60	60	80	83	64	64	50	50	39	39	42	42	33	57	37	39	49	49	40	40	30	45	40	46	34	37
17R0413	45	49	40	52	49	52	28	37	51	57	43	58	54	63	37	37	73	73	69	72	42	42	42	54	64	64	39	42	42	45	66	66	43	43	62	65	64	73	49	64	68	68	56	62	38	41	55	55	34	34	35	35	37	43	42	42	60	78	59	68	58	64	48	50	39	39	42	48	33	33	35	37	49	49	46	46	30	45	46	46	31	34
17R0414	25	45	32	52	49	55	28	40	45	54	49	73	57	63	37	37	73	73	69	72	42	42	54	60	64	64	36	36	42	45	63	69	46	49	53	53	73	73	46	46	68	71	56	62	38	41	52	55	28	34	35	41	31	43	39	42	78	78	71	80	61	64	50	56	39	39	42	42	33	57	37	37	49	49	40	46	36	45	37	40	34	37
17R0415	25	37	40	52	49	49	28	40	51	51	58	73	63	63	37	46	64	73	69	72	42	42	42	54	64	64	36	39	42	45	60	66	43	46	53	65	64	79	55	64	71	71	62	62	38	38	52	55	28	34	35	35	43	43	42	42	60	60	59	68	64	64	50	50	39	39	36	36	33	33	35	37	49	49	40	46	45	45	40	40	34	34
